Serial,file,document_type,title,theme,year,link,Summary
989,989_document.pdf,Infographic,NEW ENERGY SOLUTIONS FOR 1.5Â°C,Energy,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/989_document.pdf,"Significant progress toward 1.5Â°C requires rapid emission cuts across energy sectors. The document outlines renewable expansion, fossil phaseâ€‘out, digital power, electrification of industry, buildings, transport, and lowâ€‘temperature heat, plus energy efficiency and renewable heat solutions. It emphasizes collaboration among governments, companies, financiers, and users to achieve netâ€‘zero by 2050 today."
990,990_document.pdf,Report,Sector Alignment on the Use of Nutrient Profile Models September 2024,Food & Agriculture,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/990_document.pdf,"The Access to Nutrition Initiative conducted a Delphi study to align Nutrient Profile Models for investor reporting, identifying Health Star Rating, Nutriâ€‘Score, and UK NPM as suitable. The report details methodology, stakeholder engagement, comparative analysis across product categories, and proposes standardized reporting guidelines to assess food portfolio healthiness for investors."
991,991_document.pdf,Guide,Implementing Net Positive Water Impact: Technical Guidance,Water,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/991_document.pdf,"Net Positive Water Impact guidance outlines a fiveâ€‘step framework for companies to assess, plan, and implement actions that improve water availability, quality, and accessibility in stressed basins. It details awareness, ambition, assessment, action, and measurement stages, offering indicators, tools, case studies, while aligning with SDG 6 and the Water Resilience Coalition."
992,992_document.pdf,Case study,Valuing Water: Better Returns from Agriculture and Community Resilience in Water-Scarce Regions of Southern India,Water,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/992_document.pdf,"Natems a company in southern India values water by linking groundwater scarcity to farmer yields, community resilience, and business risk. It implements Integrated Watershed Management, indigenous harvesting, and drip irrigation credit, boosting yields by up to 40%, reducing water use by 50%, and raising farmer income by 200% per acre."
993,993_document.pdf,White Paper,"Insights from the Reporting Exchange: National, regional and international developments",Reporting & Disclosure,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/993_document.pdf,"Reporting Exchange, launched by WBCSD, CDSB"
995,995_document.pdf,Presentation,What Does Nature-Positive Mean for Business? (Japanese Version),Climate,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/995_document.pdf,insufficient_context
996,996_document.pdf,Presentation,What does nature-positive mean for business?,Nature,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/996_document.pdf,"Businesses are urged to set 2020 baselines, commit to scienceâ€‘driven, timeâ€‘bound targets, and use validated indicators to measure nature outcomes. They should apply mitigation hierarchies, collaborate across policy, finance, and capacity building, prioritize biodiversity, freshwater, land, and oceans, disclose material nature data, and aim for positive impacts by 2030 today."
998,998_document.pdf,Consultation Document,Supplemental Guidance: Nature in Net-zero Transition Plans,Nature,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/998_document.pdf,"This consultation paper outlines voluntary guidance for financial institutions to integrate nature-related levers into net-zero transition plans, emphasizing emissions reduction, nature protection, and integrated climateâ€“nature strategies, while acknowledging sector diversity, regulatory contexts, and evolving tools, and invites stakeholder feedback to refine future guidance in 2025 and beyond for all institutions."
999,999_document.pdf,Research Paper,A Nature-Positive World: The Global Goal for Nature,Biodiversity,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/999_document.pdf,"The paper proposes a concise, scienceâ€‘based Global Goal for Nature, integrating biodiversity, climate, and development targets. It outlines three temporal milestonesâ€”Zero Net Loss from 2020, Net Positive by 2030, Full Recovery by 2050â€”emphasizing restoration, conservation, and sustainable use to achieve an equitable, natureâ€‘positive, carbonâ€‘neutral future for all humanity and planet."
1000,1000_document.pdf,Report,Navigating uncertainties of the EU Digital Product Passport (DPP): How to prepare now as a company,Circular Economy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1000_document.pdf,"EU Digital Product Passport (DPP) introduces mandatory product data across lifecycles, aiming to boost circularity, transparency, and compliance. Companies must act now to prepare, influence policy, fill data gaps, and leverage early adoption for market advantage, customer trust, and new revenue streams, despite regulatory uncertainties and implementation timelines and today."
1002,1002_document.pdf,Case study,NestlÃ©'s sustainable sourcing program for vegetables in Europe,Sustainable Finance,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1002_document.pdf,insufficient_context
1003,1003_document.pdf,Guide,SBTi CORPORATE NET-ZERO STANDARD Version 1.3,Decarbonisation,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1003_document.pdf,"Science Based Targets initiative released Corporate Netâ€‘Zero Standard V1.3, offering guidance, criteria, and recommendations for companies to set scienceâ€‘based netâ€‘zero greenhouseâ€‘gas targets aligned with 1.5Â°C goals. The document details nearâ€‘term and longâ€‘term target frameworks, mitigation pathways, beyondâ€‘valueâ€‘chain mitigation, reporting, recalculation, and sectorâ€‘specific guidance, ensuring robust, validated corporate climate action today"
1004,1004_document.pdf,Report,Net-zero buildings Where do we stand?,Green Buildings,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1004_document.pdf,"The report examines wholeâ€‘life carbon assessment of six Arup projects, highlighting embodied and operational emissions, methodology, challenges, and opportunities for netâ€‘zero buildings. It stresses data transparency, consistent benchmarks, and industry collaboration to reduce embodied carbon, improve energy use, and achieve global decarbonization targets by 2030 for future buildings sector efforts."
1005,1005_document.pdf,Report,Net-zero buildings Halving construction emissions today,Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1005_document.pdf,"Netâ€‘zero buildings report outlines strategies to halve embodied carbon by 2030, emphasizing early design decisions, wholeâ€‘building lifecycle assessment, material efficiency, circular economy, and crossâ€‘chain collaboration. It details layerâ€‘specific measures for structure, skin, space plan, services, and furnishings, urging firms to"
1006,1006_document.pdf,Report,Net Zero by 2050: A Roadmap for the Global Energy Sector,Energy,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1006_document.pdf,"International Energy Agency report outlines global roadmap to netâ€‘zero emissions by 2050, detailing policy, technology, and investment pathways across energy sectors. It"
1007,1007_document.pdf,Summary,New Nature Economy â€“ Report 2: The Future of Nature and Business,Biodiversity,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1007_document.pdf,"New Nature Economy Report 2 outlines fifteen priority transitions across food, land and ocean use, infrastructure and built environment, and energy and extractives, offering a $10.1 trillion business opportunity and 395 million jobs by 2030. It links nature loss to COVIDâ€‘19, calls for natureâ€‘positive policies, and urges collective business action."
1009,1009_document.pdf,Case study,Case study 07   Carbon forestry partnerships in northern California,Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1009_document.pdf,"New Forests manages timber and conservation projects across Asia-Pacific and the USA, partnering with Native American tribes through Forest Carbon Partners to finance forest carbon offsets for Californiaâ€™s capâ€‘andâ€‘trade market. The Yurok tribeâ€™s project generates over US$2 million annually, enabling land expansion and cultural preservation while delivering 19 million carâ€‘equivalent emissions reductions."
1010,1010_document.pdf,Report,A New Investor Consensus: The Rising Demand for Healthy Buildings Health and Real Estate Investment Survey Results,Health & Safety,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1010_document.pdf,"Investors worldwide now prioritize healthy buildings, citing pandemic lessons, tenant demand, and ESG integration; the report surveys $5.75 trillion AUM participants, revealing 91% link health to investment, 87% use certifications, and 89.5% plan strategy upgrades; Fitwel and active design tools guide measurable, dataâ€‘driven decisions for longer value and sustainability impact."
1011,1011_document.pdf,Summary,New Nature Economy Series â€“ Chapter 1: Nature Risk Rising - summary brief for business,Nature,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1011_document.pdf,"The World Economic Forumâ€™s Nature Risk Rising report highlights that 15% of global GDP depends heavily on nature, urging businesses to integrate nature-based risk management into ESG frameworks, align with climate risk disclosures, and adopt nature-based solutions to mitigate biodiversity loss, ensuring resilience and unlocking new opportunities for future growth."
1012,1012_document.pdf,Case study,Measuring Impact Framework Case Study   Newmont Supporting local economic growth in Ghana,Communities,2009,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1012_document.pdf,"Newmont Ghana Goldâ€™s Ahafo Linkages Program, supported by IFC, applied the WBCSD Measuring Impact Framework to evaluate local MSME development, formalization, and economic benefits in Ghanaâ€™s Brong Ahafo region, documenting increased supplier participation, improved business practices, job creation, and community infrastructure upgrades, while noting measurement challenges and future evaluation plans."
1013,1013_document.pdf,Sustainability Report,Sustainability Integrated Report 2023,Corporate Strategy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1013_document.pdf,"Company OCP releases 2023 sustainability report detailing environmental initiatives, green investment strategy, carbon neutrality roadmap, and social commitments. It highlights increased fertilizer production, clean energy adoption, community support, earthquake relief, employee development, and ESG governance. The report underscores alignment with SDG 2 and 13, climate action, and responsible agriculture today"
1014,1014_document.pdf,Presentation,Mapping financial pathways to regenerative agriculture,Food & Agriculture,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1014_document.pdf,"This report examines European funding mechanisms for regenerative agriculture, identifying 50 sources and ranking them by size, impact, scalability, and farmer benefit. It highlights CAP"
1017,1017_document.pdf,Brochure,Scaling up Regenerative Agriculture â€“ OP2Bâ€™s contribution,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1017_document.pdf,"Regenerative Agriculture aims to reverse land degradation, reduce emissions, and restore biodiversity by adopting practices like cover crops, reduced tillage, and integrated pest management. OP2B proposes a scienceâ€‘driven framework with four objectivesâ€”biodiversity, soil carbon, resilience, and livelihoodsâ€”supported by eight key indicators to guide corporate reporting and accelerate global transition."
1018,1018_document.pdf,Presentation,Case Studies,Sustainable Production,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1018_document.pdf,"Document outlines corporate sustainability initiatives across cocoa, dairy, cardamom, cosmetics, and food sectors, detailing traceability, regenerative agriculture, and renewable raw material sourcing. Companies map farms, provide tailored support, and aim for zero deforestation. Projects include cocoa farm data collection, cardamom traceability, plantâ€‘based ingredient use, and nutritionâ€‘focused food reports for sustainability."
1019,1019_document.pdf,Brochure,Case study 01   Responsible water stewardship in the Upper Ruvuma River Basin,Water,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1019_document.pdf,"Olamâ€™s Aviv Tanzania coffee plantation implements responsible water stewardship in the Upper Ruvuma River Basin, creating a 1.5 millionâ€‘mÂ³"
1020,1020_document.pdf,Letter,Joint open letter to the European Commission on the urgent need for an ambitious and progressive EU Soil Health Law,Food & Agriculture,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1020_document.pdf,"Brussels March 2023, a coalition of farmers, scientists, NGOs, and industry signatories urges the European Commission to adopt an ambitious EU Soil Health Law, defining soil health, setting binding targets, mandating zero net land take, establishing monitoring, reporting, and governance frameworks to protect soils, climate, biodiversity, and food security today."
1021,1021_document.pdf,Report,Optimizing investments in EV charging through data sharing,Decarbonisation,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1021_document.pdf,"Optimizing investments in EV charging through data sharing highlights how shared data can improve infrastructure planning, reduce emissions, and lower costs. The report presents Fujitsuâ€™s fleet charging model and Arcadisâ€™s blueprint for planners, stressing a common framework, quality standards, and policy support to accelerate electrification and meet climate targets today."
1022,1022_document.pdf,Report,Optimizing Investment in EV Charging through Data Sharing,Mobility,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1022_document.pdf,"Data sharing enables optimal investment in vehicle charging infrastructure, with Fujitsu and Arcadis digital solutions modeling charging scenarios to cut CO2 emissions by roughly 15%. The report highlights the need"
1023,1023_document.pdf,Report,The private sector and the UNFCCC Options to enhance private sector engagement,Climate,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1023_document.pdf,"The report examines private sector engagement in the UNFCCC, highlighting current observer roles, limitations, and proposing structured optionsâ€”single coordinating bodies, sectoral windows, hybridsâ€”to enhance participation, coordination, and impact on climate mechanisms such as CDM, JI, technology transfer, finance, NAMAs, and REDD, aiming for effective, transparent collaboration between governments and businesses."
1024,1024_document.pdf,Event Document,Options for institutional engagement of the private sector in the UNFCCC Process,Climate,2010,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1024_document.pdf,"Private sector engagement in UNFCCC is explored by WBCSD, Ecofys, and Climate Focus, aiming to define institutional options for business involvement. The project examines legal, governance, and technical aspects, seeking input on policy, technology, finance, and market solutions, while addressing recognition, legitimacy, and transparency challenges to enhance sustainable climate action."
1025,1025_document.pdf,Report,The private sector in the UNFCCC - Options for institutional engagement,Sustainable Finance,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1025_document.pdf,"The document outlines private sector engagement options in UNFCCC mechanisms, detailing roles, motivations, and consultation structures for High Level Panel, Copenhagen Green Climate Fund, Clean Development Mechanism, Technology Mechanism, NAMA, and REDD. It discusses representation, incentives, barriers, and design options to integrate business expertise into climate finance and policy processes."
1026,1026_document.pdf,Presentation,Private Sector and the UNFCCC: Options for Institutional Engagement,Governance,2010,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1026_document.pdf,"Private sector engagement in the UNFCCC is evaluated, highlighting limited influence despite growing observer numbers. The study identifies challenges such as fragmented voices, trust deficits, and lack of empowerment, and proposes options for enhanced participation, including advisory roles, engagement models, and coordination mechanisms to integrate business perspectives into climate negotiations."
1027,1027_document.pdf,Presentation,Options for institutional engagement of the private sector in the UNFCCC Preliminary findings,Policy & Regulation,2010,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1027_document.pdf,"World Business Council for Sustainable Development explores sector engagement in UNFCCC, outlining key questions, stakeholder consultation methods, and past participation data. It analyzes representation, motivations for business and government collaboration, challenges, and evolving perceptions, emphasizing the"
1029,1029_document.pdf,Final Report,Private Sector and the UNFCCC Options for Institutional Engagement,Climate,2010,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1029_document.pdf,"Private sector engagement in the UNFCCC is examined, revealing limited formal participation and reliance on observer NGOs. The report reviews current mechanisms, lessons from other intergovernmental processes, and workshop findings, proposing enhanced advisory and coordinating roles to integrate business expertise, mobilize finance, and improve policy design for lowâ€‘carbon transition today"
1030,1030_document.pdf,White Paper,Oxford Principles for Net Zero Aligned Carbon Offsetting (revised 2024),Decarbonisation,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1030_document.pdf,"The Oxford Principles for Net Zero Aligned Carbon Offsetting outline four core guidelines: reduce emissions, ensure credit integrity, transition to removal-based offsets, and support innovative, durable removal solutions. Updated in 2024, they emphasize urgent emission cuts, nature-based solutions, and high-quality, low-reversal removal projects to meet global net-zero targets for all."
1031,1031_document.pdf,Progress Report,H2ForNetZero Progress Update - May 2023,Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1031_document.pdf,"ACCIONA EnergÃ­a, Iberdrola, Yosemite Clean Energy, Hinicio, Anglo American, and Shell outline ambitious renewable hydrogen projects across Europe, North America, and Africa, targeting 3 GW electrolyser capacity by 2030, 50 GW portfolio, and 75 ktpa production, while certifying lowâ€‘carbon fuels and converting heavyâ€‘haul fleets to green power, aiming to decarbonise transport and industry."
1034,1034_document.pdf,Guide,Biodiversity A Guidance Manual for Corporate Actions,Biodiversity,2002,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1034_document.pdf,"Biodiversidade Ã© apresentada como pilar do desenvolvimento sustentÃ¡vel, com foco em prÃ¡ticas corporativas responsÃ¡veis. O manual reÃºne autores de Earthwatch, IUCN e WBCSD, detalhando objetivos da ConvenÃ§Ã£o de 1992: conservaÃ§Ã£o, uso sustentÃ¡vel e distribuiÃ§Ã£o equitativa de benefÃ­cios. Empresas sÃ£o convidadas a integrar biodiversidade em gestÃ£o, mitigando riscos e aproveitando oportunidades."
1035,1035_document.pdf,Report,The Companies and Development,Sustainable Development,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1035_document.pdf,"World Business Council for Sustainable Development explores how companies can drive inclusive growth, highlighting challenges, opportunities, and the need for technology, infrastructure, and governance reforms to achieve sustainable development in emerging"
1036,1036_document.pdf,Report,Water Scenarios for Business,Water,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1036_document.pdf,"World Business Council for Sustainable Development launched the Energia project, gathering multinational companies to create realistic scenarios for water, energy, and environmental challenges. The initiative promotes sustainable practices, policy development, and collaborative workshops, fostering innovation, risk assessment, and strategic planning. It aims to strengthen corporate responsibility and drive sustainable progress"
1037,1037_document.pdf,Guide,Ecosystem Services Business Assessment: Guidelines for Identifying Business Risks and Opportunities Arising from Changes in Ecosystems,Nature,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1037_document.pdf,"AvaliaÃ§Ã£o dos ServiÃ§os dos Ecossistemas apresenta uma metodologia estruturada para avaliar dependÃªncia e impacto de empresas sobre serviÃ§os ecossistÃªmicos, identificando riscos e oportunidades decorrentes de alteraÃ§Ãµes ambientais, descrevendo cinco fases de anÃ¡lise, seleÃ§Ã£o de serviÃ§os prioritÃ¡rios, tendÃªncias, estratÃ©gias de gestÃ£o, estudos de caso como Vittel, Energia Global, Unilever e Potlatch"
1038,1038_document.pdf,Report,Title: Energy Efficiency in Buildings   Subtitle: Business Realities and Opportunities,Energy,2009,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1038_document.pdf,"Este relatÃ³rio apresenta o primeiro ano do projeto EficiÃªncia EnergÃ©tica em EdifÃ­cios, reunindo dados de dez empresas globais que analisaram mais de 100 milhÃµes de metros quadrados, destacando a necessidade urgente de reduzir consumo energÃ©tico, propondo edifÃ­cios de energia zero e estratÃ©gias para superar barreiras organizacionais e financeiras e inovaÃ§Ã£o."
1039,1039_document.pdf,Brochure,"The title is ""The Challenges of Ecosystems and Implications for Businesses"" with the subtitle ""The Companies and Ecosystems"".",Nature,2005,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1039_document.pdf,The document discusses how human activity has rapidly
1040,1040_document.pdf,Report,Facts and Trends for 2050: Energy and Climate Change,Sustainable Finance,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1040_document.pdf,insufficient_context
1042,1042_document.pdf,Report,Markets for Ecosystem Services â€“ New Challenges and Opportunities for Businesses and the Environment,Biodiversity,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1042_document.pdf,"This report highlights how market mechanisms can mobilize businesses for ecosystem service conservation, outlining direct payments, commercial licensing, and certification. It discusses biodiversity importance, ecosystem service degradation, and business opportunities in ecoâ€‘tourism, carbon credits, and biodiversity compensation, stressing the need for sector engagement to sustain ecological functions and support development."
1043,1043_document.pdf,Synthesis Report,Dedicated to Making a Difference: A Synthetic Report on Mobility,Mobility,2001,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1043_document.pdf,"This synthetic report examines global mobility trends, highlighting congestion, pollution, aging populations, and rapid motorization in developing countries. It identifies key sustainability threats, outlines technological advances like hybrids and electric vehicles, and stresses the need for institutional capacity to redesign transport systems, reduce emissions, and expand equitable, efficient mobility worldwide."
1044,1044_document.pdf,Report,Mobility 2001 - A Global Perspective,Mobility,2001,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1044_document.pdf,"Mobility, defined by the World Business Council for Sustainable Development, examines historical evolution, technological advances, and environmental impacts, highlighting disparities in access, rising congestion, and sustainability challenges. The report analyzes economic, social, and ecological dimensions, proposing strategies to balance accessibility"
1045,1045_document.pdf,Report,Dedicated to Making a Difference: Synthetic Report on Mobility,Mobility,2001,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1045_document.pdf,"Mobility report outlines global challenges, highlighting emissions, congestion, aging infrastructure, and inequitable access. It stresses need for efficient, equitable systems, renewable fuels, and smarter transport planning. Technological advances alone insufficient; institutional consensus and governance are critical to transform mobility toward sustainable, inclusive, lowâ€‘carbon futures for urban and rural communities worldwide."
1046,1046_document.pdf,Report,Mobility 2030: Overcoming the Challenges of Sustainability,Mobility,2004,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1046_document.pdf,"Mobilidade 2030 outlines a sustainable mobility framework developed by Brazilian business councils and the World Business Council for Sustainable Development, integrating economic, social, and environmental goals. It identifies seven key targetsâ€”emission reductions, safety, noise, congestion, equity, and accessâ€”while emphasizing industry, government, and public collaboration to achieve longâ€‘term mobility viability today."
1047,1047_document.pdf,Report,A coordinated agenda for a sustainable energy future,Energy,2005,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1047_document.pdf,"World Business Council for Sustainable Development, a coalition of 180 global companies, outlines a sustainable energy agenda focused on the electric sector. It highlights investment needs, access gaps, efficiency, decarbonisation, R&D, and grid modernization, urging policy support, stakeholder collaboration, and community engagement to secure reliable, affordable, lowâ€‘emission electricity worldwide today."
1048,1048_document.pdf,Report,Finding Balance: Communicating Sustainable Development,Reporting & Disclosure,2003,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1048_document.pdf,"Este documento apresenta orientaÃ§Ãµes prÃ¡ticas e um portal de comunicaÃ§Ã£o para empresas que desejam relatar desenvolvimento sustentÃ¡vel, abordando pressÃµes de stakeholders, integraÃ§Ã£o interna, desafios de harmonizaÃ§Ã£o, benefÃ­cios de transparÃªncia, riscos financeiros, e a necessidade de equilibrar informaÃ§Ã£o com requisitos regulatÃ³rios, oferecendo exemplos de relatÃ³rios de 50 empresas e destacando evoluÃ§Ã£o."
1049,1049_document.pdf,Discussion Paper,Water Facts and Trends,Water,2003,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1049_document.pdf,"Water scarcity drives global business strategy, urging companies to adopt sustainable practices. The WBCSD report outlines freshwater distribution, industrial usage, and health impacts, highlighting uneven access and rising demand. It stresses the need for efficient irrigation, recycling, and policy dialogue to secure potable water for billions while protecting ecosystems today"
1051,1051_document.pdf,Factsheet,PARKING MANAGEMENT SUSTAINABLE CORPORATE MOBILITY USE CASES DESCRIPTION,Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1051_document.pdf,"Parking management reduces costs and improves sustainability by reallocating spaces, encouraging shared and electric vehicles, charging usage-based fees, and integrating digital permits. It promotes walking, public transport, and flexible work, while mitigating resistance through communication. Metrics include parking reduction, cost savings, and increased transit adoption, benefiting accessibility and environmental impact."
1052,1052_document.pdf,Report,Partnerships in Practice: Fresh Water & Sustainable Development,Water,2001,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1052_document.pdf,"The report details WBCSD's partnership initiatives addressing freshwater challenges, presenting six case studies from DuPont, Rio Tinto, BCSDâ€‘Gulf of Mexico, Severn Trent, NestlÃ©, and Suezâ€‘Lyonnaise des Eaux. It outlines benefits, lessons learned, and emphasizes collaborative solutions for sustainable water use, sanitation, and ecosystem protection across industry and communities for future"
1053,1053_document.pdf,Consent Form,Passport Consent Form for Workers,Labour,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1053_document.pdf,"The document outlines guidelines for creating passport consent forms, emphasizing simplicity, clear instructions, purpose explanation, confidentiality, withdrawal rights, and alternative safekeeping choices. It details a sample form where workers select whether to keep or leave passports with the company, which promises secure storage, timely return, and protection against unauthorized disclosure."
1054,1054_document.pdf,Guide,Pathfinder Framework: Guidance for the Accounting and Exchange of Product Life Cycle Emissions,Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1054_document.pdf,"Pathfinder Framework offers guidance for calculating, verifying, and exchanging product lifeâ€‘cycle carbon footprints to improve Scope 3 transparency. It builds on existing standards, defines productâ€‘category rules, data quality indicators, and an assurance roadmap. The framework enables interoperable data exchange across value chains, supporting decarbonisation and regulatory compliance for companies and stakeholders."
1055,1055_document.pdf,Guide,Pathfinder Framework Guidance for the Accounting and Exchange of Product Life Cycle Emissions,Decarbonisation,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1055_document.pdf,"Pathfinder Framework provides guidance for accounting and exchanging product lifeâ€‘cycle emissions, targeting Scope 3 transparency to accelerate decarbonization. It outlines methodological standards, a verification scheme, and an open"
1056,1056_document.pdf,Report,Pathways to scale finance for renewable energy,Sustainable Finance,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1056_document.pdf,"REscale, a Low Carbon Technology Partnerships initiative, convenes 100 global businesses to accelerate renewable energy deployment by 1.5 TW before 2025. The report outlines finance pathways, corporate procurement, microgrid integration, and investor engagement, highlighting green bonds, new vehicles, and regional challenges to bridge project and capital gaps for global transition."
1057,1057_document.pdf,Research Paper,"Payment for Environmental Services: A critical review of schemes, concepts, and practice in Brazil",Forestry,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1057_document.pdf,"Review analyzes Brazilian Payment for Environmental Services schemes, revealing frequent absence of clear service definitions, inconsistent conditionality, and predominant focus on carbon and water. It identifies limited consensus, limited monitoring, and suggests adopting the Common International Classification of Ecos"
1058,1058_document.pdf,Brochure,Business and Human Rights,Human Rights,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1058_document.pdf,"Business and Human Rights outlines WBCSDâ€™s initiative to align corporate practices with UN Guiding Principles, engaging over 80 companies worldwide. The project offers peer learning, webinars, workshops, and an online gateway of tools, aiming to mainstream human rights dueâ€‘diligence across value chains, promote partnerships, and influence policy for global development goals."
1059,1059_document.pdf,Brochure,SDG Sector Roadmaps,Sustainable Development Goals (SDGs),,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1059_document.pdf,"SDG Sector Roadmaps guide industries toward sustainable development by uniting companies to create detailed roadmaps aligning with SDGs. WBCSD supports members, offering guidance, facilitation, and bestâ€‘practice guidelines. The project convenes sector groups, such as chemicals and forest solutions, to identify impactful actions, share platforms, and maximize sector contributions to SDGs."
1060,1060_document.pdf,Brochure,SDG Action & Policy,Policy & Regulation,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1060_document.pdf,"SDG Action & Policy project by WBCSD supports member companies in internalizing SDG agenda, providing timely updates, practices, peer learning, and collaboration opportunities. It aims to stimulate impactful SDG engagement, inject business voice into intergovernmental dialogues, and showcase progress, offering briefings, webinars, workshops, and a business hub for case studies."
1061,1061_document.pdf,Case study,PepsiCo and the Challenge of the Eco-Challenge: Authentically Engaging with Youth,Social,2014,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1061_document.pdf,"PepsiCo LAB launched the Ecoâ€‘Challenge in 2009 to engage Latin American youth in sustainable business ideas, partnering with YABT and local bottlers. The competition aligns with Performance with Purpose, fostering entrepreneurship, environmental education, and corporate reputation. Lessons highlight flexible partnerships, stakeholder collaboration, and scaling opportunities for global youth impact today."
1062,1062_document.pdf,Factsheet,Personal Mobility Assistant   Sustainable Corporate Mobility Use Cases,Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/1062_document.pdf,"Personal mobility assistants provide travel recommendations, track data, and promote sustainable choices through apps, incentives. They reduce travel time, cost, and emissions while improving business attractiveness and talent retention. Benefits include better data access, automated invoicing, monitoring, and cost savings. Challenges like low adoption are mitigated with training and messaging."
